future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS
0,4.7,2.5,0.5,0.7,2030.0,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,5000000000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
1,4.7,2.5,8.5,6.8,2030.0,0.07,0.04,200000000.0,-0.063,-0.05,-0.05,0.106,0.139,0.028,0.083,-0.132,500000000000.0,6300000000.0,4500000000.0,7311111111.111,11666666666.667,6000000000.0,3777777777.778,13444444444.444,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
2,4.7,8.3,4.5,2.733,2040.0,0.08,0.04,300000000.0,-0.119,-0.05,-0.117,0.05,0.05,-0.05,0.0,-0.083,1000000000000.0,6300000000.0,4500000000.0,11277777777.778,15000000000.0,9000000000.0,3111111111.111,1000000000.0,1444444444.444,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
3,4.7,8.3,8.5,4.767,2035.0,0.09,0.04,500000000.0,-0.036,0.067,-0.017,0.094,0.083,-0.017,-0.033,-0.181,600000000000.0,5344444444.444,5900000000.0,8633333333.333,11666666666.667,6000000000.0,2888888888.889,2555555555.556,2077777777.778,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
4,8.233,6.367,8.5,4.767,2050.0,0.09,0.17,900000000.0,-0.008,0.1,-0.083,0.15,0.139,0.028,0.05,-0.059,800000000000.0,6300000000.0,5200000000.0,11277777777.778,15000000000.0,6000000000.0,2222222222.222,15000000000.0,2500000000.0,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
5,8.233,4.433,12.5,4.767,2035.0,0.08,0.04,300000000.0,0.02,-0.05,-0.017,0.128,0.094,0.017,-0.017,-0.206,400000000000.0,3911111111.111,4500000000.0,4666666666.667,8333333333.333,10000000000.0,2888888888.889,5666666666.667,1444444444.444,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
6,10.0,8.3,8.5,2.733,2035.0,0.09,0.04,1000000000.0,-0.119,0.083,-0.15,0.094,0.083,0.028,-0.017,-0.23,600000000000.0,2000000000.0,5900000000.0,8633333333.333,5000000000.0,9000000000.0,2666666666.667,2555555555.556,2077777777.778,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
7,4.7,6.367,12.5,2.733,2040.0,0.08,0.105,200000000.0,-0.119,0.033,0.117,0.117,0.139,-0.017,-0.017,-0.034,900000000000.0,4388888888.889,6600000000.0,9955555555.556,13333333333.333,7000000000.0,2444444444.444,4111111111.111,811111111.111,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
8,8.233,4.433,12.5,2.733,2040.0,0.07,0.17,1000000000.0,-0.008,0.1,0.05,0.083,0.061,0.017,-0.05,-0.132,1100000000000.0,5822222222.222,3800000000.0,3344444444.444,16666666666.667,4000000000.0,3777777777.778,1000000000.0,1866666666.667,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
9,8.233,8.3,0.5,4.767,2045.0,0.08,0.04,800000000.0,-0.091,0.05,-0.117,0.117,0.072,0.006,-0.017,-0.181,400000000000.0,4388888888.889,1000000000.0,3344444444.444,10000000000.0,6000000000.0,3555555555.556,11888888888.889,1233333333.333,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
