future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Energy_A/R,Energy_BC,Energy_BECCS,Energy_SCS,Land_BC,Land_DACCS,Land_DOCCS,Land_EW,Land_OA,Land_SCS,OPEX_A/R,OPEX_BC,OPEX_BECCS,OPEX_DACCS,OPEX_DOCCS,OPEX_EW,OPEX_OA,OPEX_SCS,SCref_A/R,SCref_BC,SCref_BECCS,SCref_DACCS,SCref_DOCCS,SCref_EW,SCref_OA,SCref_SCS,Yref_A/R,Yref_BC,Yref_BECCS,Yref_DACCS,Yref_DOCCS,Yref_EW,Yref_OA,Yref_SCS,Xmax_A/R,Xmax_BC,Xmax_BECCS,Xmax_DACCS,Xmax_DOCCS,Xmax_EW,Xmax_OA,Xmax_SCS
0,4.7,2.5,0.5,0.7,2030.0,0.07,0.04,200000000.0,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,400000000000.0,2000000000.0,300000000.0,700000000.0,5000000000.0,1000000000.0,2000000000.0,1000000000.0,600000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
1,6.467,8.3,0.5,2.733,2045.0,0.09,0.04,900000000.0,-0.008,0.033,-0.05,0.106,0.061,-0.028,-0.05,-0.132,600000000000.0,2955555555.556,4500000000.0,12600000000.0,16666666666.667,1000000000.0,3111111111.111,7222222222.222,1022222222.222,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
2,6.467,8.3,8.5,2.733,2040.0,0.08,0.105,900000000.0,0.02,0.05,-0.117,0.05,0.139,-0.039,0.1,-0.034,500000000000.0,4388888888.889,300000000.0,11277777777.778,15000000000.0,8000000000.0,2444444444.444,2555555555.556,2500000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
3,10.0,6.367,0.5,0.7,2035.0,0.07,0.04,600000000.0,-0.23,0.033,0.15,0.15,0.15,0.028,0.0,-0.157,500000000000.0,3433333333.333,5900000000.0,5988888888.889,18333333333.333,4000000000.0,3555555555.556,4111111111.111,2077777777.778,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
4,4.7,2.5,0.5,6.8,2045.0,0.09,0.105,400000000.0,0.02,0.05,-0.117,0.106,0.061,0.028,0.067,-0.108,500000000000.0,4388888888.889,3800000000.0,11277777777.778,15000000000.0,4000000000.0,3333333333.333,2555555555.556,600000000.0,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
5,10.0,4.433,8.5,0.7,2050.0,0.09,0.04,700000000.0,-0.147,0.017,-0.05,0.139,0.139,0.006,0.017,-0.157,700000000000.0,3433333333.333,1000000000.0,5988888888.889,10000000000.0,8000000000.0,2000000000.0,15000000000.0,2077777777.778,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
6,6.467,6.367,0.5,6.8,2030.0,0.08,0.105,300000000.0,-0.23,0.0,0.05,0.106,0.106,-0.017,0.033,-0.034,1000000000000.0,5822222222.222,1000000000.0,2022222222.222,5000000000.0,10000000000.0,2222222222.222,15000000000.0,600000000.0,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
7,8.233,6.367,8.5,2.733,2040.0,0.09,0.105,200000000.0,-0.036,0.017,0.117,0.106,0.128,0.039,0.033,-0.01,1100000000000.0,3433333333.333,1700000000.0,4666666666.667,18333333333.333,2000000000.0,3333333333.333,11888888888.889,1655555555.556,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
8,8.233,4.433,12.5,6.8,2040.0,0.08,0.105,200000000.0,-0.008,-0.05,-0.017,0.094,0.128,-0.006,-0.017,-0.23,900000000000.0,2477777777.778,1700000000.0,5988888888.889,16666666666.667,8000000000.0,2222222222.222,5666666666.667,1233333333.333,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
9,6.467,4.433,12.5,2.733,2045.0,0.07,0.04,1000000000.0,-0.119,0.017,-0.083,0.128,0.083,0.028,0.0,-0.034,1000000000000.0,6300000000.0,1000000000.0,7311111111.111,15000000000.0,3000000000.0,4000000000.0,8777777777.778,1444444444.444,8000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
10,10.0,6.367,4.5,4.767,2030.0,0.09,0.105,1000000000.0,-0.008,0.083,0.05,0.094,0.106,-0.006,-0.05,-0.108,600000000000.0,5344444444.444,2400000000.0,11277777777.778,15000000000.0,9000000000.0,2444444444.444,7222222222.222,2077777777.778,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
11,8.233,6.367,4.5,0.7,2045.0,0.08,0.04,1000000000.0,-0.036,0.1,-0.083,0.072,0.128,0.039,0.067,-0.132,700000000000.0,2000000000.0,5200000000.0,4666666666.667,5000000000.0,6000000000.0,2222222222.222,15000000000.0,1233333333.333,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
12,4.7,2.5,8.5,6.8,2045.0,0.07,0.04,400000000.0,-0.174,0.1,-0.117,0.106,0.139,0.039,0.1,-0.034,500000000000.0,2477777777.778,3800000000.0,12600000000.0,13333333333.333,4000000000.0,2888888888.889,8777777777.778,2288888888.889,12000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
13,6.467,8.3,4.5,6.8,2040.0,0.07,0.04,300000000.0,-0.091,-0.017,0.017,0.117,0.15,-0.017,0.083,-0.034,700000000000.0,3433333333.333,1700000000.0,3344444444.444,13333333333.333,8000000000.0,2222222222.222,1000000000.0,1655555555.556,20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0,0.0,0.0,50.0,115.0,60.0,60.0,900.0,130.0,115.0,35.0,100.0,205.0,570.0,2000.0,2000.0,215.0,465.0,1.0,1980000000.0,500000.0,1820000.0,10000.0,1.0,1.0,1.0,1.0,80000000.0,500000000.0,500000000.0,500000000.0,500000000.0,1000000000.0,1000000000.0,1000000000.0
